Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2003","2003","ha","250000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2003","2003","kg/ha","840","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2003","2003","t","210000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2004","2004","ha","250000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2004","2004","kg/ha","1600","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2004","2004","t","400000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2005","2005","ha","261000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2005","2005","kg/ha","1206.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2005","2005","t","315000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2006","2006","ha","137000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2006","2006","kg/ha","2620.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2006","2006","t","359000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2007","2007","ha","137000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2007","2007","kg/ha","2627.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2007","2007","t","360000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2008","2008","ha","137000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2008","2008","kg/ha","2627.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2008","2008","t","360000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2009","2009","ha","140000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2009","2009","kg/ha","2142.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2009","2009","t","300000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2010","2010","ha","183000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2010","2010","kg/ha","1644.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2010","2010","t","301000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2011","2011","ha","183000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2011","2011","kg/ha","1640","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2011","2011","t","300120","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2012","2012","ha","141000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2012","2012","kg/ha","2198.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2012","2012","t","310000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2013","2013","ha","142000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2013","2013","kg/ha","2197.2","A","Official figure",""
